id,created_at,name,address_str,published,video_links,phone_number,tags_id,placeId,ratings,price,website_url,handicap,vege,schedule,picture_profile,number_of_reviews,GPS_address,reviews
1,1706198849739,Bao Express,"10 R. Bréguet, 75011 Paris",True,"[""['https://res.cloudinary.com/di65pb1aa/video/upload/v1710323118/bmv9qwxdmjofyh5uuooe.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323161/dhrwrbzyi1hxvxxcsegp.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323280/pvwdor8zpqolx2kufapt.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323399/bt9o9xergv4nsyg3krqw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323417/wptamqm66tkk1volseik.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323426/sbst0dmkyiybohjcab1i.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323439/qk5kiknlvsji436qjvp0.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323450/bp1rwrdhc1mlregwwzmp.mp4']"", 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323161/dhrwrbzyi1hxvxxcsegp.mp4']",01 23 45 67 89,[0],ChIJ2SnopiVt5kcRCpl04SjBTuY,4.7,2,https://www.baofamily.co/bao-express,True,True,"[""['Monday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:00\\u202fPM', 'Tuesday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:00\\u202fPM', 'Wednesday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:00\\u202fPM', 'Thursday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:00\\u202fPM', 'Friday: 12:00\\u2009–\\u20093:00\\u202fPM, 7:00\\u2009–\\u200911:00\\u202fPM', 'Saturday: 12:00\\u2009–\\u20093:30\\u202fPM, 7:00\\u2009–\\u200911:00\\u202fPM', 'Sunday: 12:00\\u2009–\\u20093:30\\u202fPM, 7:00\\u2009–\\u200911:00\\u202fPM']""]",https://x8ki-letl-twmt.n7.xano.io/vault/o7yJBf__/AYhmzMfUSgzQ3LOAYu89-7ZgWTw/ajg5eA../2023-01-03.jpg,3197,"{'type': 'point', 'data': {'lng': 2.38607009781, 'lat': 48.859433073169}}","[{'author': '', 'text': '', 'rating': ''}]"
84,1712446097816,Bao Express,"10 R. Bréguet, 75011 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710323118/bmv9qwxdmjofyh5uuooe.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323161/dhrwrbzyi1hxvxxcsegp.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323280/pvwdor8zpqolx2kufapt.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323399/bt9o9xergv4nsyg3krqw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323417/wptamqm66tkk1volseik.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323426/sbst0dmkyiybohjcab1i.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323439/qk5kiknlvsji436qjvp0.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710323450/bp1rwrdhc1mlregwwzmp.mp4']",,"[1, 2]",ChIJ2SnopiVt5kcRCpl04SjBTuY,4.7,2,https://www.baofamily.co/bao-express,True,True,"['Monday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20093:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM']",ATplDJZogJW_AyJGFWlwDyHatsWPLgVCGHEpxp_MSSb0FCmXxTcAkosYSj6haC1vEgnw4RkGdJiXY8qfkMkcFxhzkzdsuQcf5sZS8psR3aOXHnYR6Q2kDDarV6rsqQp9hABe_kTaiIwAQc6VFgrbuW4dAkFCDLHAo98npo4vV5ePLMfbOb9n,3197,"{'type': 'point', 'data': {'lng': 2.372029, 'lat': 48.85673}}","[{'author': '', 'text': '', 'rating': ''}]"
85,1712446098766,JJAN,"14 rue du pont neuf, 75001 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1708096483/oewynf4shlmpleic7d9t.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096655/a2szemzkj2lnh4yb2agg.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096676/cbuteijhn9y6fwvykgnb.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096700/v0bal0vg2zazobc2pdfk.mp4']",,"[1, 3]",ChIJa3Bbz21v5kcRdnNcY5Fl2ig,4,,,False,False,"['Monday: 12:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200911:00\u202fPM']",ATplDJYtqg_gc-zNhb3XF3wSxEkIMMQIuBhnx-SNudreuAphsP-unz-HNirjyQGq9tH-41mSZsLwv-ml0J1FuGdsmiJHKWXmP1gurUxmVNs0Gx1MNre42STT35rgZASYbmIXS6hcXND0FzaJljcrwyZXUHRbAeftupDssEKf449qzsLTNLa3,544,"{'type': 'point', 'data': {'lng': 2.344315, 'lat': 48.860111}}","[{'author': '', 'text': '', 'rating': ''}]"
86,1712446099631,Flam&go,186 rue Saint-Maur 75010 Paris,True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710781481/xkndfhnwgugjygojqqyw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858461/u4zxhmawcase7j2l93yq.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858482/qlpscc1sdwqchkcbmc0p.mp4']",07 45 08 62 02,"[3, 5, 2]",ChIJnSU3wX4RPkYRqdPz-CXOPxg,4.6,2,http://www.flamsbrygga.no/,True,False,"['Monday: 5:00\u2009–\u20099:30\u202fPM', 'Tuesday: 5:00\u2009–\u20099:30\u202fPM', 'Wednesday: 5:00\u2009–\u20099:30\u202fPM', 'Thursday: 5:00\u2009–\u20099:30\u202fPM', 'Friday: 5:00\u2009–\u20099:30\u202fPM', 'Saturday: 5:00\u2009–\u20099:30\u202fPM', 'Sunday: 5:00\u2009–\u20099:30\u202fPM']",ATplDJbCiAM5AlVcCp5fNHD-1oCGwqSOp-wkEdednUo32hB5QYqTQwxvBOgC7AIp0nRc2ISuj6hv8MEpDMql6bWwNmwIMRR4wVTU2sZaw0682LTCDwbRSq6rk1hxkNambNaMfTd46B76nvulUNfYn4hpjw6YjobOGB4QDK4-JPl3WyEGcsoB,2300,"{'type': 'point', 'data': {'lng': 2.372466, 'lat': 48.871298}}","[{'author': '', 'text': '', 'rating': ''}]"
87,1712446100425,Jungle Palace,12 RUE DE LA FIDÉLITÉ  75010 PARIS,True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1709734233/wcsp3qs56zekk045gjd5.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1709734242/hxskxq8kmqzeem5q7gic.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1709734251/citeyqbp34kwflodsfke.mp4']",,[5],ChIJqSmqRVdv5kcRWn3NXEJnXIg,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.35674, 'lat': 48.874653}}","[{'author': '', 'text': '', 'rating': ''}]"
88,1712446101218,Genki 元気,"23 Rue Dauphine, 75006 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710857781/bdyw4tfvohp4jvefjojr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857792/resfabrjy59wppppzmko.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857804/q6lull6lyd05as9wlavv.mp4']",09 55 15 57 65,"[1, 11]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.33978, 'lat': 48.855142}}","[{'author': '', 'text': '', 'rating': ''}]"
