id,nomPropre,created_at,name,video_links,picture_profile,placeId,ratings
22,fay.si.tisChIJZQGNQmRz5kcRAGzYhW7gHwU,1712723411355,Fay’si Tis,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869414/am94srilifcqyy45vbxn.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869438/xa7mapijk0dpgfoz2zsy.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869456/ajivky9yg6kfomavs1dw.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/X-IjSRfjeJidFGq3I6lB2QIEnNc/l973qA../Fay%E2%80%99si+Tis.jpg,ChIJZQGNQmRz5kcRAGzYhW7gHwU,4.9
3,flam.goChIJAU-K6f5t5kcRChmT-vPvrC0,1712723333182,Flam&go,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710781481/xkndfhnwgugjygojqqyw.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858461/u4zxhmawcase7j2l93yq.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710858482/qlpscc1sdwqchkcbmc0p.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/h4IWZvaAW6yJGoUSWzQvqVpx6RI/9IuRhw../Flam%26go.jpg,ChIJAU-K6f5t5kcRChmT-vPvrC0,4.3
5,genki.ChIJg4KToaZx5kcRPfGy3ZxpdtQ,1712723335102,Genki 元気,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710857781/bdyw4tfvohp4jvefjojr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857792/resfabrjy59wppppzmko.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710857804/q6lull6lyd05as9wlavv.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/91wd5RKcxnYYfia01usKSpUwLoM/dYZHFA../Genki+%E5%85%83%E6%B0%97.jpg,ChIJg4KToaZx5kcRPfGy3ZxpdtQ,4.2
35,green.farmer.s.parisChIJw2nOM-Rv5kcRkILdyC7xat4,1712723464096,Green Farmer's Paris,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624189/qc2wyecmzpv14x0mjzf1.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/LahiRCjJZBQQ8HsuKIYmrao1S2k/MKIBNg../Green+Farmer%27s+Paris.jpg,ChIJw2nOM-Rv5kcRkILdyC7xat4,4.8
31,gyoza.houseChIJWQgua8pR5kcRdoCY0-6cnjI,1712723460208,GYOZA HOUSE,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711623718/rzzrcqopcbmfpskgjppg.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/bxnW0sB_4z9qbEeKfXFPHVVtOlU/NgXcMQ../GYOZA+HOUSE.jpg,ChIJWQgua8pR5kcRdoCY0-6cnjI,4.7
2,jjanChIJO2EzVqJv5kcRY3Icd5vNYYU,1712723332357,JJAN,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1708096483/oewynf4shlmpleic7d9t.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096655/a2szemzkj2lnh4yb2agg.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096676/cbuteijhn9y6fwvykgnb.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1708096700/v0bal0vg2zazobc2pdfk.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/tmF7pF3WYTM6uDWH6Yx_F4u7MlQ/_U3rHg../JJAN.jpg,ChIJO2EzVqJv5kcRY3Icd5vNYYU,4
4,jungle.palaceChIJqSmqRVdv5kcRWn3NXEJnXIg,1712723334121,Jungle Palace,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1709734233/wcsp3qs56zekk045gjd5.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1709734242/hxskxq8kmqzeem5q7gic.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1709734251/citeyqbp34kwflodsfke.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/SHKhJP3TTANDU1y49ERPJfn-BB4/d2LGFQ../Jungle+Palace.jpg,ChIJqSmqRVdv5kcRWn3NXEJnXIg,4.8
19,keopiChIJtY_y3uJv5kcRITnks0-GyFc,1712723408618,Keopi,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866803/frlnbhzrvgzdgdhpna78.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866819/anegphpf0ze6acb6kuz4.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866834/dwkt17vxuenx7fzgv8pt.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/LHtZNC95IJjaXXuTKBnmDEzwHEo/nYZ6bQ../Keopi.jpg,ChIJtY_y3uJv5kcRITnks0-GyFc,4.4
16,kingkongChIJlZYkfCtv5kcR-CgzBJ5W0Vc,1712723385720,KINGKONG,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866248/m5ljfsx6onlp76dbfoop.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866270/rurmiqbchzu4wnoeo05a.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866288/apsxbkw5egzqknrn3ixs.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/wlMSlgAeCWKDt18GsS1WzkSp6GY/QDD-tQ../KINGKONG.jpg,ChIJlZYkfCtv5kcR-CgzBJ5W0Vc,4.3
39,kousChIJQQI3N-hv5kcRNibepqFop8g,1712723487989,Kous,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624244/f7qzfvlgercuaopxbzqh.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/c3kExhuaUHnnta5R37aRysTgVps/4p5qQg../Kous2.jpg,ChIJQQI3N-hv5kcRNibepqFop8g,4.7
36,kousChIJm669r6Nx5kcRE3-uqEssNQQ,1712723465013,Kous,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624244/f7qzfvlgercuaopxbzqh.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/kCYNMyQagje7zC-l5-61_6X-ATw/5s-IDw../Kous.jpg,ChIJm669r6Nx5kcRE3-uqEssNQQ,4.7
21,la.piadineriaChIJHfVz90Jx5kcRe2z0uKPZIUc,1712723410469,La Piadineria,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869192/jemxhvkwdsrotye1m9qb.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869211/nceandyj5ujegybljcop.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869229/yh0hcbefns5azvew30gl.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/IHeQueTXkoAciggDHfzOHNK7vco/KTT8qQ../La+Piadineria.jpg,ChIJHfVz90Jx5kcRe2z0uKPZIUc,4.8
33,land.monkeysChIJVwqgKEtt5kcRXOmB1nFDm8Y,1712723462259,Land & monkeys,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624063/lyojjul2ula5nvppr4xz.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/6KOIgYRcp6SayXFpaR_-7EjJg20/OQCHOw../Land+%26+monkeys.jpg,ChIJVwqgKEtt5kcRXOmB1nFDm8Y,4.4
23,libeyrouthChIJO1zRe31x5kcRp1SrbxehAK4,1712723412249,LiBeyrouth,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869501/krfxwlezg2o7y7iwswlx.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869523/df1w8ekkgr7mvftqldsp.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869546/un7xcxwv8hdbtngsb5tc.mp4']",https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/lXhUurIgQ8npD-bjnX8cqLWJBh4/w5nfMQ../LiBeyrouth.jpg,ChIJO1zRe31x5kcRp1SrbxehAK4,4.8
37,libshopChIJI1xAUGNv5kcRNDN2NYj-B3A,1712723485913,Libshop,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624297/tcyd1pkz5ovngi2ygxpc.mp4'],https://x8ki-letl-twmt.n7.xano.io/vault/J1Ce_0UJ/ClSEnWyVpf-Ba6PiSLFmbJCC8Yk/6kZY2g../Libshop.jpg,ChIJI1xAUGNv5kcRNDN2NYj-B3A,4.1
