id,created_at,name,address_str,published,video_links,phone_number,tags_id,placeId,ratings,price,website_url,handicap,vege,schedule,picture_profile,number_of_reviews,GPS_address,reviews
25,1706629784664,Privé de dessert,"4 Rue Lallier, 75009 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710859352/lcssbafxru717rrydut9.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859418/gjoh7cd2q59zl7gde5mb.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859462/ghhq1mk0jxmguwzpl2kk.mp4']",01 45 26 84 43,[],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.341146, 'lat': 48.881463}}",[]
26,1706630269856,Les délices de Tunisie,"9 Rue du Liban, 75020 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710859548/uxyms6zfdgjngupby3mz.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859686/xfms0yhwqvmobi4ibaax.mp4']",09 80 61 56 41,"[7, 9, 2]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.385358, 'lat': 48.868688}}",[]
28,1706634560148,Maison Maé,"17 Rue du Château d'Eau, 75010 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710859828/r6yzcei0bvxaaznnui3h.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859882/e9sgiq3klr9nuxxohmth.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710859914/ndf5ju1fomf6ao2tayak.mp4']",01 40 34 89 83,[11],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.360333, 'lat': 48.869986}}",[]
29,1706634856507,Ravioli Folie,"28 Av. Franklin Delano Roosevelt, 75008 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710860027/xaglkrwqefjrljfcoyrf.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860099/v6zrdj2pu0rwvgznzgje.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860121/cqxubsotqzqugggsfjvw.mp4']",09 87 79 17 91,"[1, 4]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.310213, 'lat': 48.872328}}",[]
30,1706635143330,Quai Nedy,"5 Rue Maurice Bourdet, 75016 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710860161/aef7wrc1szwmdelpfih4.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860263/dt1qxbbmydb52uegufdr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860336/vyru6elkrw4v9xz9i0ri.mp4']",07 64 06 16 16,"[2, 3, 5]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.278631, 'lat': 48.851076}}",[]
31,1706635460648,Bagels & Brownies,"12 Rue Notre Dame des Champs, 75006 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710860550/spiiummu5ybvuavdvvpt.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860607/zhipbqo7tvm4vmr51ntf.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860635/ecrvltiagrtgnz8q9gef.mp4']",01 42 22 44 15,[11],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.32725, 'lat': 48.846408}}",[]
32,1706635777801,Café Louis Vuitton,"2 Rue du Pont Neuf, 75001 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710860679/pm0ru1fpsxkqhfpeu4ac.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860718/mufh9f1nfhat9z1xutlq.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710860758/ikzxn5rkfvxr9reftsiw.mp4']",09 77 40 40 77,"[11, 5]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.342931, 'lat': 48.858588}}",[]
33,1706637084000,Pasticeria Simona,"8 Rue Mandar, 75002 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710863197/qbetit0kdh7zf9yfw1w9.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710863213/efipbhmtnevgodgk0lgc.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710863242/vohizcyr2siolzysoxil.mp4']",06 24 40 86 15,[],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.346091, 'lat': 48.86568}}",[]
34,1706637264328,RAMEN WANG,"20 Rue des Plantes, 75014 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710863282/atj5xep2u6acixu4snq9.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710863311/cfoyb4khtq1lwpgztc1f.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710863856/d1im17yuuri2yb9gytgz.mp4']",01 45 43 09 63,[1],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.324057, 'lat': 48.831251}}",[]
36,1706637662142,KINGKONG,"19 Rue Blondel, 75002 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866248/m5ljfsx6onlp76dbfoop.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866270/rurmiqbchzu4wnoeo05a.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866288/apsxbkw5egzqknrn3ixs.mp4']",09 88 49 46 75,"[1, 2]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.352962, 'lat': 48.868788}}",[]
37,1706637876905,Trantranzai,"94 Rue Saint-Denis, 75001 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866494/l6js5n876kxmbmiwpwwk.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866515/myqzytpodddkuhwxnfm9.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866623/k67d1f0xdpslp7u1qfpa.mp4']",09 51 92 24 56,[1],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.349871, 'lat': 48.863172}}",[]
38,1706638122345,Puffy Cookies,"65 Rue Condorcet, 75009 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866700/zx76j0nfhuawanrlykzm.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866727/xlelm0do58p4pzzimawu.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866740/rxmkprvfyv93gfqqiedb.mp4']",09 55 51 87 26,[],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.341333, 'lat': 48.880281}}",[]
39,1706638633657,Keopi,"23 Pass. Verdeau, 75009 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866803/frlnbhzrvgzdgdhpna78.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866819/anegphpf0ze6acb6kuz4.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866834/dwkt17vxuenx7fzgv8pt.mp4']",01 47 70 86 24,"[1, 3, 2]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.342308, 'lat': 48.873599}}",[]
40,1706638901388,CÈPE ET FIGUE,"61 Rue Saint-André des Arts, 75006 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710866936/vagtxejfjxg9si5jmco4.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866959/bl6rcurvlgfyfhrukogr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710866984/vsun9hdrpbtfrhsvo6nl.mp4']",01 43 26 00 24,[],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.338883, 'lat': 48.853527}}",[]
41,1706639063124,La Piadineria,"26 Rue Soufflot, 75005 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869192/jemxhvkwdsrotye1m9qb.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869211/nceandyj5ujegybljcop.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869229/yh0hcbefns5azvew30gl.mp4']",01 56 81 80 85,[6],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.341355, 'lat': 48.847384}}",[]
43,1706639653888,Fay’si Tis,"183 Rue du Faubourg Saint-Antoine, 75011 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869414/am94srilifcqyy45vbxn.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869438/xa7mapijk0dpgfoz2zsy.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869456/ajivky9yg6kfomavs1dw.mp4']",06 24 80 70 30,"[12, 11]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.381323, 'lat': 48.850534}}",[]
44,1706640164878,LiBeyrouth,"72 Rue Mouffetard, 75005 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869501/krfxwlezg2o7y7iwswlx.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869523/df1w8ekkgr7mvftqldsp.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869546/un7xcxwv8hdbtngsb5tc.mp4']",,"[7, 4]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.349656, 'lat': 48.842575}}",[]
46,1706640442442,Bambini,"13 Av. du Président Wilson, 75116 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869614/edkqdkpapaabv3zsowpr.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869627/lwgau3bufxnnzcbgxnei.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869644/vpclikcbmkumwjbim1mq.mp4']",01 40 70 86 08,"[6, 5]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.288553, 'lat': 48.863029}}",[]
47,1706640745343,Taco Mesa,"40 Rue du Faubourg Poissonnière, 75010 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869817/wk0grgssukjlsaraks72.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869839/mwvsgxtsuhiqdkgjljem.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869873/umv10xjcwmeywd1xmzja.mp4']",09 78 81 06 00,[13],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.348008, 'lat': 48.873599}}",[]
48,1706640973590,ACÀ PIGALLE,"48 Bd de Clichy, 75018 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869929/vndo29expldm6iwf0d1l.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869938/o5mnsj4twfn240fnz4d5.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710869954/pd8qowwo43hccn1rhhj6.mp4']",01 88 61 04 05,[13],,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.335594, 'lat': 48.883121}}",[]
49,1706641175578,Marvely,"46 Rue Crozatier, 75012 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710869998/mtk3if5cgsxdc3uk9x0d.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710870077/fa3ljkitpqltt2ff6huu.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710870134/b0dpazididpqege4gwke.mp4']",,"[2, 3, 5]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.38052, 'lat': 48.848518}}",[]
