id,created_at,name,address_str,published,video_links,phone_number,tags_id,placeId,ratings,price,website_url,handicap,vege,schedule,picture_profile,number_of_reviews,GPS_address,reviews
51,1706784826291,CHEZ HAKI,"43 Rue des Gravilliers, 75003 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1710870277/ykbtauvb7vyggpptd5hx.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710870302/ndpybc4p4zmoxb3dbhef.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1710870376/uq48tme2ghhh6d2t6xjd.mp4']",09 87 36 29 43,"[1, 9]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.355487, 'lat': 48.86414}}",[]
54,1711456103077,Plan D - DWICH & GLACE,"22 Rue des Vinaigriers, 75010 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711457946/j0mmlxiuvtcjq0myfbti.mp4'],,"[9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.363196, 'lat': 48.873202}}",[]
55,1711456133306,Mopa,"17 Rue du Croissant, 75002 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711458398/nfohsodkujmh4pkgta7r.mp4'],09 81 44 98 93,"[9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.343949, 'lat': 48.868904}}",[]
56,1711456196052,GYOZA HOUSE,"20 Rue de Châteaudun, 75009 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711623718/rzzrcqopcbmfpskgjppg.mp4'],01 73 75 24 47,"[1, 9, 10, 2]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.338314, 'lat': 48.876096}}",[]
57,1711456230736,Boneshaker Donuts,"86 Rue d'Aboukir, 75002 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1711623856/z1dh1zw5vx2r2elafjeg.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1711623956/hoeh8ftsetpgs7pklbii.mp4']",,"[11, 10, 9]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.347771, 'lat': 48.867944}}",[]
58,1711456300517,Land & monkeys,86 BOULEVARD BEAUMARCHAIS 75011 PARIS,True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624063/lyojjul2ula5nvppr4xz.mp4'],09 54 40 95 83,"[11, 9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.367903, 'lat': 48.859369}}",[]
59,1711456427134,Marcus Pizze Amore,"4 Rue Bichat, 75010 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624143/dxk4jskxdpwsf97uojna.mp4'],09 62 52 14 36,"[6, 9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.369274, 'lat': 48.869724}}",[]
60,1711456459169,Green Farmer's Paris,"49 Bd de Clichy, 75009 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624189/qc2wyecmzpv14x0mjzf1.mp4'],01 73 74 18 21,"[9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.333921, 'lat': 48.883177}}",[]
61,1711456546216,Kous,116 bd du Montparnasse,True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624244/f7qzfvlgercuaopxbzqh.mp4'],,"[7, 2, 9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.330378, 'lat': 48.841535}}",[]
62,1711456658077,Libshop,"2 rue Saint-Philippe du Roule, 75008 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624297/tcyd1pkz5ovngi2ygxpc.mp4'],+33142334107,"[7, 9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.308878, 'lat': 48.873388}}",[]
63,1711456732031,Maslow - Restaurant Paris 1,"14 Quai de la Mégisserie, 75001 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624425/jrms85vdx3579zhrbvbo.mp4'],,"[9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.344247, 'lat': 48.858134}}",[]
64,1711700859482,Kous,"96 rue Saint-Denis 75001, Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711624244/f7qzfvlgercuaopxbzqh.mp4'],+33142334107,"[2, 7, 9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.349907, 'lat': 48.863245}}",[]
65,1711787649828,Afri Call Food,"31 Rue de Ménilmontant, 75020 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711787699/hnm0yew09zqvpethlemw.mp4'],,"[8, 2]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.385121, 'lat': 48.867633}}",[]
66,1711787818145,Afrodisiac Paris 2,"16 rue Thorel, 75002 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711787979/yuifnp8yekgdyzgyhgbv.mp4'],+33 951917218,"[8, 9]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.349138, 'lat': 48.870162}}",[]
68,1711788120329,Wakanda factory Paris nation,"23 Rue Claude Tillier, 75012 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711788147/xetkxwrf6eeozaqqnz9x.mp4'],01 89 33 12 85,"[8, 2]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.388338, 'lat': 48.848454}}",[]
69,1711788217524,OYA Fusion,"141 Av. de Malakoff, 75116 Paris",True,"['https://res.cloudinary.com/di65pb1aa/video/upload/v1711788522/uei782oifyn7hvvnw2er.mp4', 'https://res.cloudinary.com/di65pb1aa/video/upload/v1711788565/qgvwz1pneixhmagfd8pi.mp4']",01 40 67 18 44,"[8, 5, 9, 10]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.2837, 'lat': 48.8754}}",[]
70,1711788848994,Rice & Burger Kitchen,"1 Rue Blondel, 75003 Paris",True,['https://res.cloudinary.com/di65pb1aa/video/upload/v1711788920/fer26k0gqoldldkmjgs3.mp4'],01 44 93 00 36,"[8, 2, 12]",,0,,,False,False,[],,0,"{'type': 'point', 'data': {'lng': 2.355015, 'lat': 48.868441}}",[]
73,1712370809437,,,False,[],,[],,0,,,False,False,[],,0,,[]
